team_name,stratum,n,metric_full,metric_full_ci_lower,metric_full_ci_upper,metric_reduced,metric_reduced_ci_lower,metric_reduced_ci_upper,delta_metric_full_minus_reduced,delta_metric_ci_lower,delta_metric_ci_upper,p_adj
BioToTem,Combined,169,0.7331632653061224,0.6410758361117364,0.8171777076972522,0.70578231292517,0.6095009666557952,0.7944488795518208,0.027380952380952395,-0.013792483357456512,0.06921832380295108,0.8838
BioToTem,B,89,0.73875,0.607498903508772,0.8589891451831749,0.681875,0.533123942669173,0.8202191877250793,0.05687500000000001,-0.005480431609263497,0.11937569962686567,0.6696
BioToTem,U,80,0.7291666666666666,0.596356711771806,0.8465454545454546,0.7209821428571429,0.5858511904761904,0.8424770768025078,0.008184523809523725,-0.046706012913640085,0.062194517798444406,0.9836
GRIS,Combined,169,0.7026360544217687,0.6134629534693119,0.7870094086021505,,,,,,,
GRIS,B,89,0.6659375,0.5376809112567004,0.7883337326153325,,,,,,,
GRIS,U,80,0.746279761904762,0.6175208333333334,0.8619377797545704,,,,,,,
BUAA-REMEX,Combined,169,0.7452380952380953,0.6572025995473023,0.8251929852591614,0.7423469387755103,0.6547587348548886,0.8241724033978897,0.002891156462584976,-0.029058867641544864,0.03522860163470939,0.9836
BUAA-REMEX,B,89,0.745625,0.621264626509867,0.8565329820452771,0.7556250000000002,0.6275341005967604,0.8695408545727136,-0.010000000000000231,-0.05462562959456074,0.03359683794466406,0.9836
BUAA-REMEX,U,80,0.7500000000000001,0.6222494239631337,0.8632737588652482,0.7485119047619048,0.615819209039548,0.8675549755560531,0.0014880952380953438,-0.04600679528235573,0.0523648179912331,0.9836
CADGEN-BIIT,Combined,169,0.6215986394557823,0.525967823274363,0.7157985292397057,,,,,,,
CADGEN-BIIT,B,89,0.6168750000000001,0.4635799231497212,0.7634676535087719,,,,,,,
CADGEN-BIIT,U,80,0.6235119047619047,0.49294497807428833,0.7479031474539772,,,,,,,
WL,Combined,169,0.5889455782312926,0.4901617510374351,0.6867638113716646,,,,,,,
WL,B,89,0.5675000000000001,0.4174452977912476,0.7125350140056023,,,,,,,
WL,U,80,0.6004464285714286,0.4628123339853183,0.732367717497556,,,,,,,
MITEL-UNIUD,Combined,169,0.6719387755102041,0.5810202641073614,0.7607499079867501,0.6681972789115647,0.5747605466113949,0.7548237125428684,0.0037414965986394266,-0.04278198908854668,0.04930698126531986,0.9836
MITEL-UNIUD,B,89,0.7187500000000001,0.591875,0.8315028161802356,0.71625,0.593895234149998,0.8287231306513617,0.0025000000000000577,-0.06648636353019359,0.07247290220435997,0.9836
MITEL-UNIUD,U,80,0.6376488095238095,0.49329947286117837,0.7770837231169254,0.6413690476190477,0.49933139880952376,0.7749825296995108,-0.0037202380952381375,-0.0766697584124245,0.07058001397624036,0.9836
HKKH,Combined,169,0.6751700680272108,0.5779985683987274,0.7663665614991911,,,,,,,
HKKH,B,89,0.6612500000000001,0.5240538847117795,0.7881301517978291,,,,,,,
HKKH,U,80,0.7485119047619048,0.6160708507950203,0.8667711598746081,,,,,,,
Aillis,Combined,169,0.6957482993197279,0.602099716776646,0.7833655462184873,,,,,,,
Aillis,B,89,0.6912499999999999,0.5576875,0.8148917501263039,,,,,,,
Aillis,U,80,0.765625,0.6441924773821326,0.87385,,,,,,,
