team_name,stratum,n,metric_full,metric_full_ci_lower,metric_full_ci_upper,metric_reduced,metric_reduced_ci_lower,metric_reduced_ci_upper,delta_metric_full_minus_reduced,delta_metric_ci_lower,delta_metric_ci_upper,p_adj
SMILE,Combined,165,0.682759863087732,0.5850067001861837,0.7744174369536823,,,,,,,
SMILE,B,89,0.7662983425414365,0.6608226422298588,0.8562357627184362,,,,,,,
SMILE,U,76,0.5862726406101049,0.4482065978777538,0.7277640569395017,,,,,,,
HKKH,Combined,165,0.6792469825256711,0.5856291550754967,0.7681526997754653,,,,,,,
HKKH,B,89,0.7939226519337017,0.6971069900347491,0.8739321075621398,,,,,,,
HKKH,U,76,0.5033365109628217,0.38681394961810667,0.6399002673271036,,,,,,,
NMIL,Combined,165,0.6027742749054225,0.5215831411178827,0.683677512209321,0.5395424247883265,0.4346947524632278,0.6381444557082759,0.06323185011709598,-0.06487486689318103,0.1942207314289579,0.6696
NMIL,B,89,0.6817679558011049,0.573266590438015,0.78128738235633,0.5895027624309392,0.4582854835483178,0.7120021978021978,0.0922651933701657,-0.04644847533366628,0.23957860985035997,0.6696
NMIL,U,76,0.49952335557673977,0.3592299749687109,0.6361247243322714,0.4690181124880839,0.30959864649021696,0.6222246065808298,0.030505243088655876,-0.1979993136535744,0.2603802677515684,0.7984
WL,Combined,165,0.5977301387137453,0.5009793843071397,0.6971011590801324,,,,,,,
WL,B,89,0.6928176795580111,0.590969375633553,0.789866437207189,,,,,,,
WL,U,76,0.41706387035271686,0.25353482110259223,0.5926489286005902,,,,,,,
TIA-Pegasus,Combined,165,0.5739506395244101,0.48384196166090904,0.6600751068149183,0.5429652314898217,0.4522287557729272,0.630492444179698,0.03098540803458838,-0.05954257995588639,0.12008886983074112,0.7584000000000001
TIA-Pegasus,B,89,0.6198895027624309,0.5030240617329523,0.7333419988445983,0.554696132596685,0.4378511967785772,0.6707173472352618,0.06519337016574589,-0.057876560847937485,0.1834634050556292,0.6696
TIA-Pegasus,U,76,0.5147759771210677,0.37772096977139574,0.6525641611176339,0.5424213536701621,0.3979092610702953,0.6787889847378898,-0.02764537654909438,-0.16934687894002576,0.11620233938547489,0.7984
